II.  Construction Cost Breakdown2,,,,,Average,,,,,Share of Construction Cost
I. Site Work,,,,,"$32,719 ",,,,,7.60%
A. Building Permit Fees,,,,,"$7,640 ",,,,,1.80%
B. Impact Fee,,,,,"$6,367 ",,,,,1.50%
C. Water & Sewer Fees Inspections,,,,,"$6,260 ",,,,,1.50%
"D. Architecture, Engineering",,,,,"$6,480 ",,,,,1.50%
E. Other,,,,,"$5,972 ",,,,,1.40%
II. Foundations,,,,,"$44,748 ",,,,,10.50%
"F. Excavation, Foundation, Concrete, Retaining walls, and Backfill",,,,,"$43,002 ",,,,,10.00%
G. Other,,,,,"$1,747 ",,,,,0.40%
III. Framing,,,,,"$70,982 ",,,,,16.60%
H. Framing (including roof),,,,,"$49,763 ",,,,,11.60%
I. Trusses (if not included above),,,,,"$12,903 ",,,,,3.00%
J. Sheathing (if not included above),,,,,"$6,513 ",,,,,1.50%
"K. General Metal, Steel",,,,,"$1,718 ",,,,,0.40%
L. Other,,,,,$85 ,,,,,0.00%
IV. Exterior Finishes,,,,,"$57,510 ",,,,,13.40%
M. Exterior Wall Finish,,,,,"$24,450 ",,,,,5.70%
N. Roofing,,,,,"$16,732 ",,,,,3.90%
O. Windows and Doors (including garage door),,,,,"$15,990 ",,,,,3.70%
P. Other,,,,,$338 ,,,,,0.10%
V. Major Systems Rough-ins,,,,,"$82,319 ",,,,,19.20%
Q. Plumbing (except fixtures),,,,,"$27,180 ",,,,,6.30%
R. Electrical (except fixtures),,,,,"$27,383 ",,,,,6.40%
S. HVAC,,,,,"$26,938 ",,,,,6.30%
T. Other,,,,,$817 ,,,,,0.20%
VI. Interior Finishes,,,,,"$103,391 ",,,,,24.10%
U. Insulation,,,,,"$6,992 ",,,,,1.60%
V. Drywall,,,,,"$13,962 ",,,,,3.30%
"W. Interior Trims, Doors, and Mirrors",,,,,"$12,920 ",,,,,3.00%
X. Painting,,,,,"$11,150 ",,,,,2.60%
Y. Lighting,,,,,"$5,392 ",,,,,1.30%
"Z. Cabinets, Countertops",,,,,"$19,056 ",,,,,4.50%
AA. Appliances,,,,,"$7,499 ",,,,,1.80%
AB. Flooring,,,,,"$15,388 ",,,,,3.60%
AC. Plumbing Fixtures,,,,,"$7,922 ",,,,,1.90%
AD. Fireplace,,,,,"$2,378 ",,,,,0.60%
AE. Other,,,,,$732 ,,,,,0.20%
VII. Final Steps,,,,,"$27,710 ",,,,,6.50%
sum of,,,,,"$9,269 ",,,,,2.20%
"AG. Outdoor Structures (deck, patio, porches)",,,,,"$4,722 ",,,,,1.10%
AH. Driveway,,,,,"$9,635 ",,,,,2.30%
AI. Clean Up,,,,,"$3,183 ",,,,,0.70%
AJ. Other,,,,,$902 ,,,,,0.20%
VIII. Other,,,,,"$8,835 ",,,,,2.10%
Total,,,,,"$428,215 ",,,,,100.00%
